% COMP47490 2017 - Assignment 1 Q1
% Dataset bank for student ID number 15211282
@relation bank-15211282

@attribute checking_account {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits','all paid','existing paid','delayed previously',critical}
@attribute purpose {'new car','used car',furniture,laptop,wedding,repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installments numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property {house,apartment,car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute existing_credits numeric
@attribute job {unemployed,unskilled,skilled,'highly qualified'}
@attribute num_dependents numeric
@attribute online_banking {none,yes}
@attribute international_visa {yes,no}
@attribute creditworthiness {high,low}

@data
<0,18,'existing paid',wedding,1217,<100,1<=X<4,4,'male mar/wid',none,3,house,47,none,1,unskilled,1,yes,yes,low
'no checking',18,critical,laptop,6070,<100,>=7,3,'male single',none,4,car,33,none,2,skilled,1,yes,yes,high
<0,12,'existing paid',furniture,652,<100,>=7,4,'female div/dep/mar',none,4,apartment,24,none,1,skilled,1,none,yes,high
<0,6,'existing paid',furniture,428,<100,>=7,2,'female div/dep/mar',none,1,apartment,49,bank,1,skilled,1,yes,yes,high
<0,18,'all paid',furniture,1553,<100,1<=X<4,4,'male single',none,3,car,44,bank,1,skilled,1,none,yes,low
<0,10,critical,furniture,2132,'no known savings',<1,2,'female div/dep/mar','co applicant',3,house,27,none,2,skilled,1,none,no,high
0<=X<200,24,'existing paid','used car',2760,'no known savings',>=7,4,'male single',none,4,'no known property',36,bank,1,skilled,1,yes,yes,high
'no checking',12,'existing paid',laptop,3077,<100,1<=X<4,2,'male single',none,4,car,52,none,1,skilled,1,yes,yes,high
0<=X<200,15,'existing paid',laptop,1444,'no known savings',<1,4,'male single',none,1,apartment,23,none,1,skilled,1,none,yes,high
<0,24,'existing paid',laptop,1282,100<=X<500,1<=X<4,4,'female div/dep/mar',none,2,car,32,none,1,unskilled,1,none,yes,low
<0,20,'existing paid',furniture,2212,'no known savings',4<=X<7,4,'male single',none,4,car,39,none,1,skilled,1,yes,yes,high
<0,6,'existing paid','used car',1352,500<=X<1000,unemployed,1,'female div/dep/mar',none,2,apartment,23,none,1,unemployed,1,yes,yes,high
<0,21,'all paid','new car',1647,'no known savings',1<=X<4,4,'male single',none,2,apartment,40,none,2,unskilled,2,none,yes,low
0<=X<200,9,'existing paid',laptop,2118,<100,1<=X<4,2,'male single',none,2,house,37,none,1,unskilled,2,none,yes,high
'no checking',15,'existing paid','new car',3556,'no known savings',1<=X<4,3,'male single',none,2,'no known property',29,none,1,skilled,1,none,yes,high
0<=X<200,12,'existing paid','new car',1318,>=1000,>=7,4,'male single',none,4,house,54,none,1,skilled,1,yes,yes,high
'no checking',6,'existing paid',furniture,4611,<100,<1,1,'female div/dep/mar',none,4,apartment,32,none,1,skilled,1,none,yes,low
>=200,15,'existing paid',business,2687,<100,4<=X<7,2,'male single',none,4,apartment,26,none,1,skilled,1,yes,yes,high
<0,9,'existing paid',furniture,2136,<100,1<=X<4,3,'male single',none,2,house,25,none,1,skilled,1,none,yes,high
0<=X<200,48,'delayed previously',business,6681,'no known savings',1<=X<4,4,'male single',none,4,'no known property',38,none,1,skilled,2,yes,yes,high
'no checking',12,critical,laptop,1291,<100,1<=X<4,4,'female div/dep/mar',none,2,apartment,35,none,2,skilled,1,none,yes,high
<0,24,'existing paid','new car',1381,'no known savings',1<=X<4,4,'female div/dep/mar',none,2,apartment,35,none,1,skilled,1,none,yes,low
0<=X<200,21,'existing paid',furniture,3976,'no known savings',4<=X<7,2,'male single',none,3,car,35,none,1,skilled,1,yes,yes,high
0<=X<200,15,critical,laptop,2728,'no known savings',4<=X<7,4,'male single',guarantor,2,house,35,bank,3,skilled,1,yes,yes,high
'no checking',15,'existing paid',furniture,2221,500<=X<1000,1<=X<4,2,'female div/dep/mar',none,4,car,20,none,1,skilled,1,none,yes,high
'no checking',24,'existing paid',laptop,3181,<100,<1,4,'female div/dep/mar',none,4,apartment,26,none,1,skilled,1,yes,yes,high
0<=X<200,12,'existing paid',furniture,3017,<100,<1,3,'female div/dep/mar',none,1,house,34,none,1,'highly qualified',1,none,yes,high
<0,10,'existing paid',laptop,2315,<100,>=7,3,'male single',none,4,house,52,none,1,unskilled,1,none,yes,high
0<=X<200,18,'existing paid',business,4439,<100,>=7,1,'male single','co applicant',1,house,33,bank,1,'highly qualified',1,yes,yes,high
>=200,24,'existing paid','new car',947,<100,4<=X<7,4,'male single',none,3,'no known property',38,bank,1,skilled,2,none,yes,low
0<=X<200,27,'delayed previously','used car',5965,<100,>=7,1,'male single',none,2,car,30,none,2,'highly qualified',1,yes,yes,high
'no checking',36,critical,'used car',5711,>=1000,>=7,4,'male single',none,2,car,38,none,2,'highly qualified',1,yes,yes,high
'no checking',24,'existing paid','used car',2679,<100,<1,4,'female div/dep/mar',none,1,'no known property',29,none,1,'highly qualified',1,yes,yes,high
'no checking',12,critical,laptop,1655,<100,>=7,2,'male single',none,4,house,63,none,2,unskilled,1,yes,yes,high
'no checking',36,critical,furniture,7127,<100,<1,2,'female div/dep/mar',none,4,apartment,23,none,2,skilled,1,yes,yes,low
'no checking',12,'existing paid','used car',4675,'no known savings',<1,1,'female div/dep/mar',none,4,car,20,none,1,skilled,1,none,yes,high
'no checking',21,'no credits','new car',5003,'no known savings',1<=X<4,1,'female div/dep/mar',none,4,apartment,29,bank,2,skilled,1,yes,yes,low
0<=X<200,12,'existing paid','new car',1295,<100,<1,3,'female div/dep/mar',none,1,car,25,none,1,skilled,1,none,yes,low
'no checking',24,'existing paid',laptop,999,'no known savings',>=7,4,'male single',none,2,car,25,none,2,skilled,1,none,yes,high
'no checking',12,critical,education,2096,<100,4<=X<7,2,'male single',none,3,house,49,none,1,unskilled,2,none,yes,high
'no checking',6,'all paid','new car',783,'no known savings',1<=X<4,1,'male single',guarantor,2,house,26,stores,1,unskilled,2,none,yes,high
0<=X<200,36,'existing paid','used car',9398,<100,<1,1,'male mar/wid',none,4,car,28,none,1,'highly qualified',1,yes,yes,low
'no checking',6,critical,'new car',2080,500<=X<1000,1<=X<4,1,'male mar/wid',none,2,car,24,none,1,skilled,1,none,yes,high
'no checking',12,critical,'new car',1255,<100,>=7,4,'male single',none,4,house,61,none,2,unskilled,1,none,yes,high
<0,16,critical,'new car',2625,<100,>=7,2,'male single',guarantor,4,apartment,43,bank,1,skilled,1,yes,yes,low
>=200,6,'existing paid',furniture,2116,<100,1<=X<4,2,'male single',none,2,house,41,none,1,skilled,1,yes,yes,high
0<=X<200,6,'existing paid','new car',14555,'no known savings',unemployed,1,'male single',none,2,apartment,23,none,1,unemployed,1,yes,yes,low
>=200,12,critical,'new car',939,500<=X<1000,4<=X<7,4,'male mar/wid',none,2,house,28,none,3,skilled,1,yes,yes,low
<0,36,'existing paid',laptop,2302,<100,1<=X<4,4,'male div/sep',none,4,car,31,none,1,skilled,1,none,yes,low
'no checking',24,'existing paid',laptop,3621,100<=X<500,>=7,2,'male single',none,4,car,31,none,2,skilled,1,none,yes,low
'no checking',24,'existing paid','new car',1469,100<=X<500,>=7,4,'male mar/wid',none,4,house,41,none,1,unskilled,1,none,yes,high
'no checking',15,'delayed previously',laptop,1478,<100,1<=X<4,4,'male mar/wid',none,3,house,33,bank,2,skilled,1,none,yes,high
0<=X<200,24,'delayed previously',furniture,2333,'no known savings',<1,4,'male single',none,2,apartment,29,bank,1,unskilled,1,none,yes,high
'no checking',12,critical,furniture,5801,'no known savings',>=7,2,'male single',none,4,apartment,49,none,1,skilled,1,yes,yes,high
'no checking',6,'existing paid',furniture,1543,>=1000,1<=X<4,4,'male div/sep',none,2,house,33,none,1,skilled,1,none,yes,high
0<=X<200,24,'existing paid','new car',1355,<100,<1,3,'female div/dep/mar',none,4,car,25,none,1,unskilled,1,yes,yes,low
'no checking',24,'delayed previously','new car',2538,<100,>=7,4,'male single',none,4,car,47,none,2,unskilled,2,none,yes,low
0<=X<200,6,'existing paid',repairs,454,<100,<1,3,'male mar/wid',none,1,apartment,22,none,1,unskilled,1,none,yes,high
0<=X<200,9,'all paid','used car',5129,<100,>=7,2,'female div/dep/mar',none,4,'no known property',74,bank,1,'highly qualified',2,yes,yes,low
'no checking',18,'existing paid',business,1950,<100,4<=X<7,4,'male single',none,1,car,34,stores,2,skilled,1,yes,yes,high
'no checking',36,'existing paid','new car',909,500<=X<1000,>=7,4,'male single',none,4,apartment,36,none,1,skilled,1,none,yes,high
>=200,10,'existing paid','new car',3949,<100,<1,1,'male single',guarantor,1,apartment,37,none,1,unskilled,2,none,yes,high
<0,30,'existing paid',furniture,3622,>=1000,>=7,4,'female div/dep/mar',none,4,apartment,57,none,2,skilled,1,yes,yes,high
'no checking',36,'delayed previously','new car',10875,<100,>=7,2,'male single',none,2,car,45,none,2,skilled,2,yes,yes,high
0<=X<200,30,'delayed previously',business,2503,100<=X<500,>=7,4,'male single',none,2,apartment,41,stores,2,skilled,1,none,yes,high
<0,24,'existing paid','used car',6579,<100,unemployed,4,'male single',none,2,'no known property',29,none,1,'highly qualified',1,yes,yes,high
0<=X<200,21,critical,business,3652,<100,4<=X<7,2,'male single',none,3,apartment,27,none,2,skilled,1,none,yes,high
<0,6,'existing paid','new car',1203,100<=X<500,>=7,3,'male single',none,2,apartment,43,none,1,skilled,1,yes,yes,high
'no checking',10,'existing paid','used car',2901,'no known savings',<1,1,'female div/dep/mar',none,4,house,31,none,1,skilled,1,none,yes,high
<0,12,'existing paid',furniture,1620,<100,1<=X<4,2,'female div/dep/mar','co applicant',3,apartment,30,none,1,skilled,1,none,yes,high
0<=X<200,27,'existing paid',business,3915,<100,1<=X<4,4,'male single',none,2,car,36,none,1,skilled,2,yes,yes,low
'no checking',18,critical,laptop,2404,<100,1<=X<4,2,'female div/dep/mar',none,2,car,26,none,2,skilled,1,none,yes,high
0<=X<200,6,'delayed previously','new car',1209,<100,unemployed,4,'male single',none,4,apartment,47,none,1,'highly qualified',1,yes,yes,low
0<=X<200,8,'existing paid',furniture,1237,<100,1<=X<4,3,'female div/dep/mar',none,4,house,24,none,1,skilled,1,none,yes,low
<0,12,'existing paid','used car',3386,<100,>=7,3,'male single',none,4,'no known property',35,none,1,skilled,1,yes,yes,low
0<=X<200,27,'existing paid',business,2528,<100,<1,4,'female div/dep/mar',none,1,apartment,32,none,1,skilled,2,yes,yes,high
'no checking',24,'delayed previously',business,8648,<100,<1,2,'male single',none,2,car,27,bank,2,skilled,1,yes,yes,low
>=200,15,critical,laptop,1271,'no known savings',1<=X<4,3,'male single',none,4,'no known property',39,none,2,skilled,1,yes,yes,low
<0,24,critical,'used car',6419,<100,>=7,2,'female div/dep/mar',none,4,'no known property',44,none,2,'highly qualified',2,yes,yes,high
<0,24,'delayed previously',laptop,1024,<100,<1,4,'male mar/wid',none,4,house,48,stores,1,skilled,1,none,yes,low
<0,6,critical,'new car',4716,'no known savings',<1,1,'male single',none,3,house,44,none,2,unskilled,2,none,yes,high
'no checking',12,critical,furniture,1258,<100,<1,2,'female div/dep/mar',none,4,apartment,22,none,2,unskilled,1,none,yes,high
'no checking',6,critical,laptop,1237,100<=X<500,1<=X<4,1,'female div/dep/mar',none,1,apartment,27,none,2,skilled,1,none,yes,high
<0,18,'existing paid',laptop,1936,'no known savings',4<=X<7,2,'male mar/wid',none,4,car,23,none,2,unskilled,1,none,yes,high
0<=X<200,18,'existing paid',repairs,3872,<100,unemployed,2,'female div/dep/mar',none,4,car,67,none,1,skilled,1,yes,yes,high
0<=X<200,48,'existing paid',other,5381,'no known savings',unemployed,3,'male single',none,4,'no known property',40,bank,1,unemployed,1,yes,yes,high
'no checking',24,'existing paid',laptop,3430,500<=X<1000,>=7,3,'male single',none,2,car,31,none,1,skilled,2,yes,yes,high
<0,36,'existing paid','new car',1842,<100,<1,4,'female div/dep/mar',none,4,car,34,none,1,skilled,1,yes,yes,low
'no checking',24,critical,laptop,1516,>=1000,1<=X<4,4,'female div/dep/mar',none,1,house,43,none,2,unskilled,1,none,yes,high
'no checking',24,'existing paid',laptop,1901,100<=X<500,1<=X<4,4,'male single',none,4,car,29,none,1,'highly qualified',1,yes,yes,high
'no checking',15,critical,'used car',3368,>=1000,>=7,3,'male single',none,4,'no known property',23,none,2,skilled,1,yes,yes,high
<0,20,critical,furniture,4272,<100,>=7,1,'female div/dep/mar',none,4,apartment,24,none,2,skilled,1,none,yes,high
'no checking',24,'all paid',business,1559,<100,4<=X<7,4,'male single',none,4,car,50,bank,1,skilled,1,yes,yes,high
<0,36,critical,furniture,6229,<100,<1,4,'female div/dep/mar','co applicant',4,'no known property',23,none,2,unskilled,1,yes,yes,low
>=200,12,'existing paid',laptop,1881,<100,1<=X<4,2,'female div/dep/mar',none,2,car,44,none,1,unskilled,1,yes,yes,high
<0,12,critical,'used car',1526,<100,>=7,4,'male single',none,4,'no known property',66,none,2,'highly qualified',1,none,yes,high
'no checking',24,critical,laptop,1851,<100,4<=X<7,4,'male mar/wid',guarantor,2,car,33,none,2,skilled,1,yes,yes,high
<0,12,'existing paid',furniture,1262,'no known savings',>=7,2,'male div/sep',none,4,apartment,49,none,1,unskilled,1,yes,yes,high
'no checking',15,critical,'new car',5045,'no known savings',>=7,1,'female div/dep/mar',none,4,car,59,none,1,skilled,1,yes,yes,high
'no checking',30,'existing paid',laptop,1867,'no known savings',>=7,4,'male single',none,4,car,58,none,1,skilled,1,yes,yes,high
'no checking',36,critical,business,6304,'no known savings',>=7,4,'male single',none,4,house,36,none,2,skilled,1,none,yes,high
>=200,6,critical,'new car',1343,<100,>=7,1,'male single',none,4,house,46,none,2,skilled,2,none,no,high
'no checking',9,'existing paid','new car',2507,500<=X<1000,>=7,2,'male single',none,4,'no known property',51,none,1,unskilled,1,none,yes,high
0<=X<200,12,'existing paid',repairs,639,<100,1<=X<4,4,'male single',none,2,car,30,none,1,skilled,1,none,yes,low
<0,30,'no credits',business,8072,'no known savings',<1,2,'male single',none,3,car,25,bank,3,skilled,1,none,yes,high
<0,14,'existing paid','new car',8978,<100,>=7,1,'male div/sep',none,4,apartment,45,none,1,'highly qualified',1,yes,no,low
'no checking',30,critical,laptop,2831,<100,1<=X<4,4,'female div/dep/mar',none,2,car,33,none,1,skilled,1,yes,yes,high
0<=X<200,18,'existing paid','used car',12976,<100,unemployed,3,'female div/dep/mar',none,4,'no known property',38,none,1,'highly qualified',1,yes,yes,low
0<=X<200,20,'existing paid','used car',6468,'no known savings',unemployed,1,'male div/sep',none,4,house,60,none,1,'highly qualified',1,yes,yes,high
'no checking',18,'existing paid',laptop,1126,'no known savings',<1,4,'female div/dep/mar',none,2,house,21,none,1,skilled,1,yes,yes,high
<0,24,'existing paid','new car',915,'no known savings',>=7,4,'female div/dep/mar',none,2,car,29,bank,1,skilled,1,none,yes,low
'no checking',36,'existing paid',laptop,2394,'no known savings',1<=X<4,4,'female div/dep/mar',none,4,car,25,none,1,skilled,1,none,yes,high
'no checking',12,'existing paid',laptop,3059,>=1000,4<=X<7,2,'male div/sep',none,4,house,61,none,1,unskilled,1,none,yes,high
0<=X<200,18,'no credits',furniture,3244,<100,1<=X<4,1,'female div/dep/mar',none,4,car,33,bank,2,skilled,1,yes,yes,high
'no checking',6,critical,'new car',362,100<=X<500,1<=X<4,4,'female div/dep/mar',none,4,car,52,none,2,unskilled,1,none,yes,high
0<=X<200,30,'existing paid',laptop,1715,'no known savings',1<=X<4,4,'female div/dep/mar',none,1,car,26,none,1,skilled,1,none,yes,high
'no checking',15,critical,furniture,3343,<100,1<=X<4,4,'male single',none,2,'no known property',28,none,1,skilled,1,yes,yes,high
<0,18,'existing paid',furniture,1131,<100,unemployed,4,'female div/dep/mar',none,2,car,33,none,1,skilled,1,none,yes,low
'no checking',6,'delayed previously',laptop,932,<100,1<=X<4,3,'female div/dep/mar',none,2,house,24,none,1,skilled,1,none,yes,high
0<=X<200,12,critical,furniture,3617,<100,>=7,1,'male single',none,4,car,28,none,3,skilled,1,yes,yes,high
'no checking',48,critical,'used car',11590,100<=X<500,1<=X<4,2,'female div/dep/mar',none,4,car,24,bank,2,unskilled,1,none,yes,low
<0,18,critical,'new car',3966,<100,>=7,1,'female div/dep/mar',none,4,house,33,bank,3,skilled,1,yes,yes,low
0<=X<200,24,critical,other,11938,<100,1<=X<4,2,'male single','co applicant',3,car,39,none,2,'highly qualified',2,yes,yes,low
'no checking',24,critical,'used car',4042,'no known savings',4<=X<7,3,'male single',none,4,apartment,43,none,2,skilled,1,yes,yes,high
'no checking',36,'delayed previously',laptop,4454,<100,1<=X<4,4,'female div/dep/mar',none,4,house,34,none,2,skilled,1,none,yes,high
<0,24,'existing paid',business,6568,<100,1<=X<4,2,'male mar/wid',none,2,car,21,stores,1,unskilled,1,none,yes,high
>=200,24,critical,laptop,3148,'no known savings',1<=X<4,3,'male single',none,2,car,31,none,2,skilled,1,yes,yes,high
'no checking',48,critical,laptop,3578,'no known savings',>=7,4,'male single',none,1,house,47,none,1,skilled,1,yes,yes,high
0<=X<200,30,critical,'new car',5234,<100,unemployed,4,'male mar/wid',none,2,car,28,none,2,'highly qualified',1,none,yes,low
0<=X<200,48,'all paid',business,6416,<100,>=7,4,'female div/dep/mar',none,3,'no known property',59,none,1,skilled,1,none,yes,low
'no checking',48,'existing paid',laptop,10222,'no known savings',4<=X<7,4,'male single',none,3,car,37,stores,1,skilled,1,yes,yes,high
'no checking',6,'no credits',laptop,426,<100,>=7,4,'male mar/wid',none,4,car,39,none,1,unskilled,1,none,yes,high
<0,21,'delayed previously',education,3414,<100,<1,2,'male single',none,1,apartment,26,none,2,skilled,1,none,yes,low
'no checking',15,'existing paid','used car',3812,100<=X<500,<1,1,'female div/dep/mar',none,4,car,23,none,1,skilled,1,yes,yes,high
'no checking',9,critical,'new car',2134,<100,1<=X<4,4,'male single',none,4,car,48,none,3,skilled,1,yes,yes,high
'no checking',24,critical,'new car',1287,>=1000,>=7,4,'female div/dep/mar',none,4,house,37,none,2,skilled,1,yes,yes,high
>=200,10,'existing paid',furniture,1275,<100,<1,4,'female div/dep/mar',none,2,apartment,23,none,1,skilled,1,none,yes,high
<0,11,critical,'new car',3905,<100,1<=X<4,2,'male single',none,2,house,36,none,2,skilled,2,none,yes,high
'no checking',21,critical,furniture,2288,<100,<1,4,'female div/dep/mar',none,4,apartment,23,none,1,skilled,1,yes,yes,high
0<=X<200,12,'existing paid',laptop,1092,<100,1<=X<4,4,'female div/dep/mar',guarantor,4,house,49,none,2,skilled,1,yes,yes,high
<0,12,'existing paid',wedding,741,100<=X<500,unemployed,4,'female div/dep/mar',none,3,apartment,22,none,1,skilled,1,none,yes,low
0<=X<200,36,'no credits',business,1953,<100,>=7,4,'male single',none,4,'no known property',61,none,1,'highly qualified',1,yes,yes,low
<0,15,'existing paid',wedding,1275,'no known savings',1<=X<4,4,'female div/dep/mar',none,2,car,24,none,1,skilled,1,none,yes,low
'no checking',21,'existing paid',laptop,3160,'no known savings',>=7,4,'male single',none,3,apartment,41,none,1,skilled,1,yes,yes,high
<0,36,'delayed previously',education,6887,<100,1<=X<4,4,'male single',none,3,apartment,29,stores,1,skilled,1,yes,yes,low
0<=X<200,24,'existing paid',laptop,2039,<100,<1,1,'male mar/wid',none,1,apartment,22,none,1,skilled,1,yes,yes,low
'no checking',6,'existing paid','new car',3518,<100,1<=X<4,2,'male single',guarantor,3,apartment,26,none,1,skilled,1,none,yes,high
<0,24,'existing paid','new car',4817,<100,4<=X<7,2,'male single','co applicant',3,apartment,31,none,1,skilled,1,yes,yes,low
'no checking',12,'existing paid','used car',2445,'no known savings',<1,2,'male mar/wid',none,4,car,26,none,1,skilled,1,yes,yes,high
'no checking',18,'existing paid',laptop,433,<100,unemployed,3,'female div/dep/mar','co applicant',4,house,22,none,1,skilled,1,none,yes,low
0<=X<200,24,'delayed previously',laptop,1553,100<=X<500,4<=X<7,3,'female div/dep/mar',none,2,apartment,23,none,2,skilled,1,yes,yes,high
0<=X<200,12,'existing paid',business,1037,100<=X<500,4<=X<7,3,'male single',none,4,house,39,none,1,unskilled,1,none,yes,high
<0,6,critical,'new car',1361,<100,<1,2,'male single',none,4,house,40,none,1,unskilled,2,none,no,high
<0,27,critical,business,2442,<100,>=7,4,'male single',none,4,car,43,stores,4,'highly qualified',2,yes,yes,high
'no checking',48,critical,'used car',2751,'no known savings',>=7,4,'male single',none,3,car,38,none,2,skilled,2,yes,yes,high
0<=X<200,36,'delayed previously','new car',2862,100<=X<500,>=7,4,'male single',none,3,'no known property',30,none,1,skilled,1,none,yes,high
0<=X<200,36,'existing paid','new car',12389,'no known savings',1<=X<4,1,'male single',none,4,'no known property',37,none,1,skilled,1,yes,yes,low
'no checking',24,critical,'used car',2197,'no known savings',4<=X<7,4,'male single',none,4,car,43,none,2,skilled,2,yes,yes,high
0<=X<200,6,'delayed previously',furniture,1050,<100,unemployed,4,'male single',none,1,apartment,35,stores,2,'highly qualified',1,yes,yes,high
'no checking',12,'existing paid',laptop,886,'no known savings',1<=X<4,4,'female div/dep/mar',none,2,car,21,none,1,skilled,1,none,yes,high
'no checking',21,'existing paid',business,1572,>=1000,>=7,4,'female div/dep/mar',none,4,house,36,bank,1,unskilled,1,none,yes,high
<0,6,'existing paid',laptop,2647,500<=X<1000,1<=X<4,2,'male single',none,3,house,44,none,1,skilled,2,none,yes,high
<0,12,'no credits','new car',1082,<100,1<=X<4,4,'male single',none,4,car,48,bank,2,skilled,1,none,yes,low
'no checking',60,'existing paid','new car',10366,<100,>=7,2,'male single',none,4,apartment,42,none,1,'highly qualified',1,yes,yes,high
>=200,18,'existing paid',furniture,3049,<100,<1,1,'female div/dep/mar',none,1,apartment,45,stores,1,unskilled,1,none,yes,high
<0,48,'existing paid','new car',3931,<100,4<=X<7,4,'male single',none,4,'no known property',46,none,1,skilled,2,none,yes,low
0<=X<200,21,'existing paid',business,1188,<100,>=7,2,'female div/dep/mar',none,4,apartment,39,none,1,skilled,2,none,yes,low
'no checking',30,'delayed previously',business,4272,100<=X<500,1<=X<4,2,'male single',none,2,apartment,26,none,2,unskilled,1,none,yes,high
'no checking',15,'existing paid',laptop,1213,500<=X<1000,>=7,4,'male single',none,3,apartment,47,stores,1,skilled,1,yes,yes,high
'no checking',15,'existing paid','used car',4657,<100,1<=X<4,3,'male single',none,2,car,30,none,1,skilled,1,yes,yes,high
'no checking',12,critical,'new car',682,100<=X<500,4<=X<7,4,'female div/dep/mar',none,3,car,51,none,2,skilled,1,yes,yes,high
'no checking',12,'existing paid','new car',3527,'no known savings',<1,2,'male single',none,3,apartment,45,none,1,'highly qualified',2,yes,yes,high
<0,36,critical,education,8065,<100,1<=X<4,3,'female div/dep/mar',none,2,'no known property',25,none,2,'highly qualified',1,yes,yes,low
'no checking',18,'existing paid','new car',1820,<100,1<=X<4,2,'male mar/wid',none,2,apartment,30,none,1,'highly qualified',1,yes,yes,high
<0,12,'existing paid',laptop,709,<100,>=7,4,'male single',none,4,house,57,stores,1,unskilled,1,none,yes,low
<0,12,critical,'new car',3499,<100,1<=X<4,3,'female div/dep/mar','co applicant',2,house,29,none,2,skilled,1,none,yes,low
>=200,24,'existing paid',furniture,3749,<100,<1,2,'female div/dep/mar',none,4,car,26,none,1,skilled,1,none,yes,high
'no checking',21,critical,'used car',3275,<100,>=7,1,'male single',none,4,car,36,none,1,'highly qualified',1,yes,yes,high
<0,24,'existing paid',laptop,2439,<100,<1,4,'female div/dep/mar',none,4,house,35,none,1,skilled,1,yes,yes,low
<0,48,'no credits','used car',4605,<100,>=7,3,'male single',none,4,'no known property',24,none,2,skilled,2,none,yes,low
<0,21,'existing paid',laptop,2606,<100,<1,4,'female div/dep/mar',none,4,apartment,28,none,1,'highly qualified',1,yes,yes,high
0<=X<200,12,critical,'new car',2366,500<=X<1000,4<=X<7,3,'male div/sep',none,3,car,36,none,1,'highly qualified',1,yes,yes,high
>=200,9,'no credits',laptop,1337,<100,<1,4,'male single',none,2,car,34,none,2,'highly qualified',1,yes,yes,low
0<=X<200,15,'existing paid',repairs,1514,100<=X<500,1<=X<4,4,'male single',guarantor,2,house,22,none,1,skilled,1,none,yes,high
<0,13,critical,business,1797,<100,<1,3,'male single',none,1,apartment,28,bank,2,unskilled,1,none,yes,high
'no checking',24,critical,education,1927,'no known savings',1<=X<4,3,'female div/dep/mar',none,2,car,33,none,2,skilled,1,yes,yes,high
'no checking',24,critical,other,6314,<100,unemployed,4,'male single','co applicant',2,'no known property',27,bank,2,'highly qualified',1,yes,yes,high
'no checking',15,'existing paid',furniture,2708,<100,<1,2,'male single',none,3,apartment,27,bank,2,unskilled,1,none,yes,high
<0,18,'existing paid',furniture,2462,<100,1<=X<4,2,'male single',none,2,car,22,none,1,skilled,1,none,yes,low
